,middle_band,price,upper_band,lower_band
146,1723.4750000000001,1699.25,1802.5526808927966,1644.3973191072037
147,1716.9142857142856,1671.8,1796.869719729553,1636.9588516990182
148,1709.475,1685.85,1778.8136311462026,1640.1363688537972
149,1706.3571428571427,1729.6,1766.6823366901292,1646.0319490241561
150,1705.6749999999995,1756.85,1763.2277550633585,1648.1222449366405
151,1705.778571428571,1757.75,1763.7276301490695,1647.8295127080726
152,1708.8749999999998,1770.4,1775.676724413474,1642.0732755865256
153,1711.4785714285713,1748.05,1781.5013887458808,1641.4557541112617
154,1719.0857142857142,1782.45,1795.3441557207989,1642.8272728506295
155,1724.9499999999996,1789.5,1809.5123029305691,1640.38769706943
156,1732.0571428571425,1770.95,1813.9325346437965,1650.1817510704884
157,1737.6892857142855,1755.15,1813.6790844078787,1661.6994870206922
158,1741.5785714285714,1756.7,1815.2945619105935,1667.8625809465493
159,1742.8535714285715,1725.65,1814.6451979414242,1671.0619449157189
160,1744.6678571428572,1724.65,1812.908693181808,1676.4270211039063
161,1747.775,1715.3,1804.756032606661,1690.7939673933392
162,1752.6428571428573,1754.0,1797.1038142096475,1708.1819000760672
163,1758.7071428571433,1814.5,1811.926570442619,1705.4877152716674
164,1764.421428571429,1836.85,1832.0191380715928,1696.8237190712653
165,1768.8321428571433,1819.5,1842.3534491059147,1695.3108366083718
166,1771.1035714285717,1802.2,1846.767234735691,1695.4399081214524
167,1773.4107142857144,1780.35,1848.0085610124256,1698.8128675590033
168,1772.5285714285715,1770.1,1846.9578534483262,1698.0992894088167
169,1768.8607142857145,1738.15,1844.7342850219195,1692.9871435495095
170,1762.8892857142857,1687.35,1850.3316023365135,1675.446969092058
171,1759.0357142857142,1701.2,1852.495351221998,1665.5760773494305
172,1752.1785714285713,1660.7,1859.443819326442,1644.9133235307006
173,1750.482142857143,1701.9,1860.2761290112244,1640.6881567030614
174,1749.1749999999997,1706.35,1860.7156290240248,1637.6343709759747
175,1748.7035714285714,1708.7,1860.9147217334564,1636.4924211236864
176,1747.642857142857,1739.15,1859.9190677688207,1635.3666465168935
177,1740.2,1710.3,1847.0692875216398,1633.3307124783603
178,1731.517857142857,1715.3,1823.2396237663024,1639.7960905194118
179,1721.439285714286,1678.4,1801.8238056416599,1641.054765786912
180,1712.5571428571427,1677.85,1781.1107025710546,1644.0035831432308
181,1708.9214285714286,1729.45,1766.5091104044338,1651.3337467384233
182,1698.8357142857146,1628.9,1759.6370734376583,1638.034355133771
183,1689.321428571429,1604.95,1763.7758102091357,1614.8670469337221
184,1687.521428571429,1662.15,1763.386224443728,1611.65663269913
185,1683.2678571428576,1641.65,1762.4347753225131,1604.100938963202
186,1683.371428571429,1662.15,1762.414860783236,1604.3279963596221
187,1678.9071428571435,1639.4,1760.4626346511154,1597.3516510631716
188,1674.4392857142864,1643.8,1756.3710695213083,1592.5075019072644
189,1671.6714285714293,1669.95,1751.2003465271464,1592.1425106157121
190,1667.2357142857147,1677.05,1736.8630125195186,1597.6084160519108
191,1664.7321428571433,1675.25,1730.0781286339395,1599.3861570803472
192,1659.5464285714293,1642.7,1718.8491521343183,1600.2437050085402
193,1656.7142857142862,1638.75,1715.9254648636845,1597.503106564888
194,1650.9000000000008,1596.45,1716.7813969306737,1585.0186030693278
195,1641.678571428572,1600.35,1695.1744478229934,1588.1826950341506
196,1642.0000000000005,1633.4,1695.2184901355363,1588.7815098644646
197,1647.0000000000005,1674.95,1698.344013208028,1595.655986791973
198,1646.6178571428575,1656.8,1697.5541613659802,1595.6815529197347
199,1646.5178571428573,1640.25,1697.5016495470177,1595.534064738697
200,1646.3178571428573,1659.35,1697.0588829828532,1595.5768313028614
201,1646.142857142857,1636.95,1697.0034185170214,1595.2822957686928
202,1645.7107142857144,1637.75,1696.7594870212133,1594.6619415502155
203,1642.0249999999999,1618.35,1692.9859465858074,1591.0640534141924
204,1638.5249999999999,1628.05,1685.7148253374926,1591.3351746625071
205,1637.0214285714285,1654.2,1680.3544451946545,1593.6884119482024
206,1638.6321428571428,1665.25,1684.4779480866434,1592.786337627642
207,1641.6285714285714,1680.7,1692.6940303895906,1590.5631124675522
208,1649.7464285714284,1710.1,1705.767310176617,1593.7255469662398
209,1658.7392857142856,1726.25,1720.707493177969,1596.7710782506024
210,1662.6321428571428,1687.9,1724.590684916041,1600.6736007982445
211,1659.553571428571,1631.85,1723.1373679165326,1595.9697749406096
212,1659.5892857142856,1657.3,1723.1669811085565,1596.0115903200146
213,1664.1821428571425,1704.55,1730.9516385078425,1597.4126472064424
214,1666.7714285714283,1695.6,1735.5160139725806,1598.026843170276
215,1670.2249999999997,1685.3,1737.3549973071636,1603.0950026928358
216,1677.6428571428567,1741.6,1751.8884771342766,1603.3972371514367
217,1688.6499999999996,1772.45,1770.3471706505547,1606.9528293494445
218,1698.6142857142854,1767.55,1782.4726317378052,1614.7559396907657
219,1710.3571428571424,1818.6,1811.6535689247191,1609.0607167895657
220,1722.4285714285709,1834.25,1839.6041183281131,1605.2530245290286
221,1734.5357142857138,1850.2,1867.1484612572572,1601.9229673141704
222,1749.214285714285,1915.6,1912.1920398761529,1586.2365315524173
223,1764.3107142857136,1937.6,1954.9346863780545,1573.6867421933728
224,1782.621428571428,1944.25,1990.1285877223804,1575.1142694204755
225,1803.6357142857137,1926.05,2004.8625645684797,1602.4088640029477
226,1822.7321428571424,1924.65,2014.6653708584095,1630.7989148558754
227,1838.7892857142851,1929.35,2025.6791223666653,1651.899449061905
228,1854.4142857142851,1914.35,2025.6574031664106,1683.1711682621597
229,1872.8428571428565,1943.3,2019.4455376574465,1726.2401766282665
230,1886.6607142857138,1935.05,2015.3488894556506,1757.972539115777
231,1897.689285714285,1926.85,2009.5826152643483,1785.7959561642217
232,1908.0999999999992,1913.3,1991.2689291095385,1824.93107089046
