,middle_band,price,upper_band,lower_band,call,calls
84,1873.025,1867.8,1957.6000804360665,1788.4499195639335,Hold Buy/Liquidate Short,Hold Buy/Liquidate Short
85,1869.8464285714288,1862.65,1952.2128655773647,1787.4799915654926,Hold Buy/Liquidate Short,Hold Buy/Liquidate Short
86,1866.725,1866.2,1945.7991594473544,1787.6508405526458,Hold Buy/Liquidate Short,Hold Buy/Liquidate Short
87,1868.2142857142856,1923.6,1950.9134851204199,1785.515086308152,Hold Short/Liquidate Buy,Hold Short/Liquidate Buy
88,1870.3321428571426,1941.3,1959.1176718854315,1781.5466138288543,Hold Short/Liquidate Buy,Hold Short/Liquidate Buy
89,1873.117857142857,1950.8,1969.6200341381607,1776.6156801475531,Hold Short/Liquidate Buy,Hold Short/Liquidate Buy
90,1874.45,1923.55,1973.3277489163613,1775.572251083638,Hold Short/Liquidate Buy,Hold Short/Liquidate Buy
91,1876.8535714285715,1953.15,1981.8926664528256,1771.814476404317,Hold Short/Liquidate Buy,Hold Short/Liquidate Buy
92,1883.275,1953.05,1995.4544698754464,1771.0955301245526,Hold Short/Liquidate Buy,Hold Short/Liquidate Buy
93,1889.725,1886.3,1990.045331170464,1789.4046688295355,Hold Buy/Liquidate Short,Hold Buy/Liquidate Short
94,1891.6535714285708,1867.1,1988.853962883024,1794.4531799741187,Hold Buy/Liquidate Short,Hold Buy/Liquidate Short
95,1896.0642857142848,1868.5,1981.5688283607694,1810.5597430678006,Hold Buy/Liquidate Short,Hold Buy/Liquidate Short
96,1896.2821428571426,1845.9,1981.2162676212693,1811.348018093016,Hold Buy/Liquidate Short,Hold Buy/Liquidate Short
97,1895.975,1833.75,1981.8422208434765,1810.1077791565235,Hold Buy/Liquidate Short,Hold Buy/Liquidate Short
98,1892.992857142857,1826.05,1985.7025019580328,1800.2832123276817,Hold Buy/Liquidate Short,Hold Buy/Liquidate Short
99,1883.2571428571425,1726.35,2011.5071142599966,1755.0071714542887,Buy,Buy
100,1874.725,1746.75,2022.3005543129245,1727.1494456870748,Hold Buy/Liquidate Short,Hold Buy/Liquidate Short
101,1867.2535714285711,1819.0,2014.7613467870472,1719.7457960700951,Hold Buy/Liquidate Short,Hold Buy/Liquidate Short
102,1857.4678571428567,1804.3,2001.961565321776,1712.974148963938,Hold Buy/Liquidate Short,Hold Buy/Liquidate Short
103,1846.7392857142847,1800.6,1983.4777062819464,1710.0008651466244,Hold Buy/Liquidate Short,Hold Buy/Liquidate Short
104,1838.3964285714285,1806.75,1969.064943196352,1707.7279139465054,Hold Buy/Liquidate Short,Hold Buy/Liquidate Short
105,1828.185714285713,1810.2,1941.4021606893245,1714.969267882103,Hold Buy/Liquidate Short,Hold Buy/Liquidate Short
106,1819.8928571428567,1836.95,1907.916113310597,1731.8696009751168,Hold Short/Liquidate Buy,Hold Short/Liquidate Buy
107,1815.3,1822.0,1894.6832282228104,1735.9167717771884,Hold Short/Liquidate Buy,Hold Short/Liquidate Buy
108,1810.6892857142848,1802.55,1884.4085367077066,1736.9700347208645,Hold Buy/Liquidate Short,Hold Buy/Liquidate Short
109,1804.060714285714,1775.7,1871.8369431406768,1736.2844854307516,Hold Buy/Liquidate Short,Hold Buy/Liquidate Short
110,1797.4249999999995,1753.0,1865.744315322622,1729.1056846773777,Hold Buy/Liquidate Short,Hold Buy/Liquidate Short
111,1791.0857142857142,1745.0,1861.3286600423487,1720.8427685290796,Hold Buy/Liquidate Short,Hold Buy/Liquidate Short
112,1784.1357142857141,1728.75,1858.6035434632568,1709.6678851081713,Hold Buy/Liquidate Short,Hold Buy/Liquidate Short
