,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Day_Perc_Change,Per_Change_OpenandClose,Per_Change_LowandHigh,Rolling_Mean_5days,Rolling_Std_5days,Action,Actions,cummulative_returns
233,BAJFINANCE,EQ,20-Apr-2018,1913.3,1907.8,1907.8,1850.15,1881.0,20-Apr-2018,1868.16,1226196,2290734254.8,44935,677076,55.22,-1.7195421523023002,-1.436209246252218,3.1159635705213073,-0.35175940598388655,1.1704073331899574,1,1,41.66301066467778
234,BAJFINANCE,EQ,23-Apr-2018,1880.4,1880.0,1919.75,1860.8,1899.0,23-Apr-2018,1892.15,762125,1442053158.15,48306,332162,43.58,1.0077643054669183,1.029255319148925,3.167992261392949,-0.45265907446973197,0.9749661649875834,1,1,42.6707749701447
235,BAJFINANCE,EQ,24-Apr-2018,1899.35,1908.0,1933.25,1898.6,1926.0,24-Apr-2018,1916.44,784895,1504206019.5,28384,353709,45.06,0.9713849474820346,0.513626834381542,1.8250289687137933,-0.17347496821317385,1.166150473918372,-1,-1,43.642159917626735
236,BAJFINANCE,EQ,25-Apr-2018,1917.8,1925.95,1938.95,1888.65,1900.0,25-Apr-2018,1914.96,677675,1297718402.4,21972,261181,38.54,-0.9359682970069949,-1.3551753680002165,2.6632780028062353,-0.27591629563348674,1.21510382600406,-1,-1,42.70619162061974
237,BAJFINANCE,EQ,26-Apr-2018,1899.85,1909.0,1915.0,1876.6,1907.0,26-Apr-2018,1894.52,1098339,2080828329.95,35027,606882,55.25,-0.4079269416006559,-0.8852802514405456,2.04625386336994,-0.21685762759219926,1.1961717805747616,1,1,42.298264679019084
238,BAJFINANCE,EQ,27-Apr-2018,1892.1,1912.0,1915.45,1892.5,1903.0,27-Apr-2018,1902.29,641591,1220492857.75,15951,337174,52.55,0.47830452935893053,-0.5674686192468581,1.2126816380449101,0.2227117087400469,0.8634800737436636,1,1,42.776569208378014
239,BAJFINANCE,EQ,30-Apr-2018,1901.15,1924.9,1924.9,1894.8,1904.8,30-Apr-2018,1909.05,647210,1235557150.45,21509,432836,66.88,0.3445283118112652,-0.8935529118395791,1.5885581591724707,0.09006451000891627,0.7571239428768545,-1,-1,43.12109752018928
240,BAJFINANCE,EQ,02-May-2018,1907.7,1909.0,1936.75,1900.0,1903.1,02-May-2018,1920.59,687083,1319606918.6,26841,333162,48.49,-0.13628977302511114,-0.20429544264013444,1.9342105263157938,-0.13147043409251288,0.5749061989054172,-1,-1,42.98480774716417
241,BAJFINANCE,EQ,03-May-2018,1905.1,1905.05,1906.75,1862.6,1879.0,03-May-2018,1881.92,471750,887794298.0,18379,243376,51.59,-1.6167130334365676,-1.6141308627070194,2.3703425319445914,-0.26761938137842745,0.8348824226195719,-1,-1,41.3680947137276
242,BAJFINANCE,EQ,04-May-2018,1874.3,1880.0,1893.25,1851.65,1866.0,04-May-2018,1869.59,562177,1051038742.55,18917,352862,62.77,-0.9016699567838571,-1.202127659574459,2.2466448842923814,-0.3663679844150677,0.8834155486101238,1,1,40.466424756943745
243,BAJFINANCE,EQ,07-May-2018,1857.4,1865.0,1902.0,1856.05,1892.0,07-May-2018,1882.65,485519,914060624.9,20023,286493,59.01,2.048562506729845,1.632707774798936,2.475687616174138,-0.05231638894088473,1.3916687576917532,-1,-1,42.51498726367359
244,BAJFINANCE,EQ,08-May-2018,1895.45,1898.5,1898.5,1860.0,1875.0,08-May-2018,1873.63,669757,1254877126.25,35657,406051,60.63,-1.4271017436492617,-1.585462207005528,2.0698924731182844,-0.4066424000329901,1.4875972379028362,-1,-1,41.08788552002433
245,BAJFINANCE,EQ,09-May-2018,1868.4,1875.1,1875.1,1845.0,1848.0,09-May-2018,1854.12,645553,1196932029.4,31073,449374,69.61,-1.032969385570548,-1.3865927150552015,1.6314363143631327,-0.5859783225420775,1.5008472818075267,-1,-1,40.054916134453784
246,BAJFINANCE,EQ,10-May-2018,1849.1,1852.0,1861.45,1818.0,1836.0,10-May-2018,1836.31,588792,1081202661.85,20825,316490,53.75,-0.6327402520144854,-0.7883369330453527,2.3899889988998835,-0.38918376625766105,1.3925069479293002,1,1,39.4221758824393
247,BAJFINANCE,EQ,11-May-2018,1837.4,1845.0,1880.75,1828.1,1855.0,11-May-2018,1865.82,483249,901653615.25,16335,147881,30.6,1.311636007401762,0.8943089430894391,2.8800393851539985,0.05347742657946277,1.5335174883985192,1,1,40.73381188984106
248,BAJFINANCE,EQ,14-May-2018,1861.5,1863.1,1883.95,1842.95,1856.7,14-May-2018,1865.99,642971,1199775599.35,23366,387420,60.25,0.16116035455278066,0.07514357790778803,2.2246941045606317,-0.32400300385595016,1.0869081502162607,1,1,40.89497224439384
249,BAJFINANCE,EQ,15-May-2018,1864.5,1865.25,1933.5,1854.5,1900.0,15-May-2018,1905.25,1570302,2991814700.3,59690,628260,40.01,2.008581389112374,1.9675646696153404,4.259908331086537,0.36313362269637695,1.2834345241249538,1,1,42.90355363350621
250,BAJFINANCE,EQ,16-May-2018,1901.95,1892.5,1929.0,1872.9,1929.0,16-May-2018,1908.26,952836,1818256702.35,35756,439871,46.16,0.9463971187465559,1.4504623513870607,2.995354797373051,0.7590069235597977,1.024247413386239,1,1,43.84995075225277
251,BAJFINANCE,EQ,17-May-2018,1919.95,1930.0,2087.8,1906.1,2067.95,17-May-2018,2003.37,5581203,11181210536.1,159158,1598192,28.64,7.633011276335311,7.0725388601036165,9.532553381249699,2.412157229229757,2.993608901931242,1,1,51.48296202858808
252,BAJFINANCE,EQ,18-May-2018,2066.5,2069.9,2171.75,2065.65,2139.0,18-May-2018,2126.79,8316734,17687907758.0,225313,2036992,24.49,4.023711589644341,3.8528431325184798,5.136397744051502,2.9545723456782733,2.99005295668012,-1,-1,55.50667361823242
253,BAJFINANCE,EQ,21-May-2018,2149.65,2125.0,2149.0,2080.55,2114.9,21-May-2018,2105.9,2376823,5005357984.9,72060,900391,37.88,-2.0561486753657654,-0.9200000000000097,3.289995433899673,2.511110539694564,3.6084120283977885,1,1,53.45052494286665
254,BAJFINANCE,EQ,22-May-2018,2105.45,2111.0,2177.9,2110.0,2146.0,22-May-2018,2155.28,1963373,4231625668.6,79406,306180,15.59,2.082690161248202,1.8143060161061264,3.2180094786729896,2.5259322941217297,3.605983205666838,-1,-1,55.53321510411485
255,BAJFINANCE,EQ,23-May-2018,2149.3,2148.0,2148.0,2066.2,2079.85,23-May-2018,2099.34,1443827,3031085180.75,62774,438684,30.38,-3.29874842972131,-3.240223463687142,3.9589584744942563,1.6769031844281563,4.4676666599336565,1,1,52.234466674393545
256,BAJFINANCE,EQ,24-May-2018,2078.4,2095.5,2109.8,2068.0,2109.0,24-May-2018,2086.16,840932,1754316685.9,30038,178900,21.27,0.786662817551953,-0.035790980672867345,2.021276595744692,0.3076334926714848,2.9909441820956784,1,1,53.0211294919455
257,BAJFINANCE,EQ,25-May-2018,2094.75,2107.0,2151.9,2103.5,2120.0,25-May-2018,2128.68,1342145,2857003476.8,48489,293628,21.88,1.014440864064925,0.42714760322732914,2.3009270263846027,-0.2942206524443984,2.272783897510759,-1,-1,54.035570356010425
258,BAJFINANCE,EQ,28-May-2018,2116.0,2125.0,2138.0,2086.25,2096.2,28-May-2018,2105.35,806190,1697311143.85,27155,245425,30.44,-0.9948015122873466,-1.4141176470588324,2.4805272618334318,-0.08195121982871463,2.110883594744423,-1,-1,53.04076884372308
259,BAJFINANCE,EQ,29-May-2018,2094.95,2105.0,2107.0,2065.05,2080.0,29-May-2018,2085.25,727259,1516519677.1,36634,219850,30.23,-0.8520489749158644,-1.3254156769596293,2.0314278104646366,-0.6688990470615279,1.7326394378590164,1,1,52.18871986880721
